Domain;Action;Beta;ValidationPercent;TestdataPercent;TrainingdataPercent;NumProblems;NumusefulActions;NumuselessActions;Vars;Clauses;Body;TpTraining;TnTraining;FpTraining;FnTraining;RecallTraining;PrecisionTraining;TpTest;TnTest;FpTest;FnTest;RecallTest;PrecisionTest;TpValidation;TnValidation;FpValidation;FnValidation;RecallValidation;PrecisionValidation;Hypothesis;SecondsElapsed;Date
satellite;calibrate;2;0;0.2;0.75;145;6352;84993;6;5;5;38;856;18;470;0.074803;0.678571;15;903;13;190;0.073171;0.535714;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_pointing(A,C,D).;0.505608;04/11/2021 14:04
satellite;calibrate;2;0;0.2;0.75;145;6352;84993;6;5;5;269;408;466;239;0.529528;0.365986;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.531599;04/11/2021 14:04
satellite;calibrate;2;0;0.2;1;193;8362;113576;6;5;5;49;1184;26;614;0.073906;0.653333;15;903;13;190;0.073171;0.535714;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_pointing(A,C,D).;0.541942;04/11/2021 14:04
satellite;calibrate;2;0;0.2;1;193;8362;113576;6;5;5;351;585;625;312;0.529412;0.359631;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.571163;04/11/2021 14:04
satellite;calibrate;2;0;0.2;0.25;49;1761;29222;6;5;5;8;306;7;177;0.043243;0.533333;15;903;13;190;0.073171;0.535714;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_pointing(A,C,D).;0.43436;04/11/2021 14:04
satellite;calibrate;2;0;0.2;0.25;49;1761;29222;6;5;5;98;148;165;87;0.52973;0.372624;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.457321;04/11/2021 14:04
satellite;calibrate;2;0;0.2;0.5;97;4011;57025;6;5;5;28;637;14;302;0.084848;0.666667;15;903;13;190;0.073171;0.535714;0;0;0;0;0;0;calibrate(A,B,C,D):-init_pointing(A,C,D),init_on_board(B,A,D).;0.479999;04/11/2021 14:04
satellite;calibrate;2;0;0.2;0.5;97;4011;57025;6;5;5;180;290;361;150;0.545455;0.332717;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.504344;04/11/2021 14:04
satellite;calibrate;2;0;0.2;0.75;145;6352;84993;7;5;5;269;408;466;239;0.529528;0.365986;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.985152;04/11/2021 14:10
satellite;calibrate;2;0;0.2;0.75;145;6352;84993;7;5;5;269;408;466;239;0.529528;0.365986;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.531599;04/11/2021 14:10
satellite;calibrate;2;0;0.2;1;193;8362;113576;7;5;5;351;585;625;312;0.529412;0.359631;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.984456;04/11/2021 14:10
satellite;calibrate;2;0;0.2;1;193;8362;113576;7;5;5;351;585;625;312;0.529412;0.359631;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.571163;04/11/2021 14:10
satellite;calibrate;2;0;0.2;0.25;49;1761;29222;7;5;5;98;148;165;87;0.52973;0.372624;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_calibration_target(B,C,D),init_on_board(B,A,D).;0.898519;04/11/2021 14:10
satellite;calibrate;2;0;0.2;0.25;49;1761;29222;7;5;5;98;148;165;87;0.52973;0.372624;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.457321;04/11/2021 14:10
satellite;calibrate;2;0;0.2;0.5;97;4011;57025;7;5;5;180;290;361;150;0.545455;0.332717;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.904199;04/11/2021 14:10
satellite;calibrate;2;0;0.2;0.5;97;4011;57025;7;5;5;180;290;361;150;0.545455;0.332717;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.504344;04/11/2021 14:10
satellite;calibrate;2;0;0.2;0.75;145;6352;84993;7;6;5;269;408;466;239;0.529528;0.365986;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_power_avail(A,D),init_calibration_target(B,C,D).;1.15232;04/11/2021 14:20
satellite;calibrate;2;0;0.2;0.75;145;6352;84993;7;6;5;269;408;466;239;0.529528;0.365986;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.531599;04/11/2021 14:20
satellite;calibrate;2;0;0.2;1;193;8362;113576;7;6;5;351;585;625;312;0.529412;0.359631;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_power_avail(A,D),init_calibration_target(B,C,D).;1.194368;04/11/2021 14:20
satellite;calibrate;2;0;0.2;1;193;8362;113576;7;6;5;351;585;625;312;0.529412;0.359631;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.571163;04/11/2021 14:20
satellite;calibrate;2;0;0.2;0.25;49;1761;29222;7;6;5;98;148;165;87;0.52973;0.372624;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_power_avail(A,D),init_calibration_target(B,C,D).;1.086035;04/11/2021 14:20
satellite;calibrate;2;0;0.2;0.25;49;1761;29222;7;6;5;98;148;165;87;0.52973;0.372624;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.457321;04/11/2021 14:20
satellite;calibrate;2;0;0.2;0.5;97;4011;57025;7;6;5;180;290;361;150;0.545455;0.332717;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_calibration_target(B,C,D),init_power_avail(A,D).;1.1244;04/11/2021 14:20
satellite;calibrate;2;0;0.2;0.5;97;4011;57025;7;6;5;180;290;361;150;0.545455;0.332717;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_calibration_target(B,C,D).;0.504344;04/11/2021 14:20
satellite;calibrate;2;0;0.2;0.75;145;6352;84993;7;5;6;38;856;18;470;0.074803;0.678571;15;903;13;190;0.073171;0.535714;0;0;0;0;0;0;calibrate(A,B,C,D):-init_pointing(A,C,D),init_on_board(B,A,D).;0.952367;04/11/2021 15:20
satellite;calibrate;2;0;0.2;0.75;145;6352;84993;7;5;6;269;408;466;239;0.529528;0.365986;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_calibration_target(B,C,D),init_on_board(B,A,D).;1.009546;04/11/2021 15:20
satellite;calibrate;2;0;0.2;0.75;145;6352;84993;7;5;6;269;557;317;239;0.529528;0.459044;98;489;427;107;0.478049;0.186667;0;0;0;0;0;0;calibrate(A,B,C,D):-init_pointing(A,C,D),goal_have_image(E,F,D),init_supports(B,F,D),goal_pointing(A,E,D). | calibrate(A,B,C,D):-goal_have_image(G,F,D),init_calibration_target(B,C,D),init_power_avail(A,D),init_supports(B,F,D),init_supports(B,E,D),goal_have_image(G,E,D).;111.66332;04/11/2021 15:20
satellite;calibrate;2;0;0.2;1;193;8362;113576;7;5;6;49;1184;26;614;0.073906;0.653333;15;903;13;190;0.073171;0.535714;0;0;0;0;0;0;calibrate(A,B,C,D):-init_on_board(B,A,D),init_pointing(A,C,D).;1.000414;04/11/2021 15:20
satellite;calibrate;2;0;0.2;1;193;8362;113576;7;5;6;351;585;625;312;0.529412;0.359631;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_calibration_target(B,C,D),init_on_board(B,A,D).;1.064952;04/11/2021 15:20
satellite;calibrate;2;0;0.2;1;193;8362;113576;7;5;6;351;777;433;312;0.529412;0.447704;98;489;427;107;0.478049;0.186667;0;0;0;0;0;0;calibrate(A,B,C,D):-goal_pointing(E,C,D),init_pointing(E,C,D),goal_have_image(G,F,D),init_supports(B,F,D),init_pointing(A,G,D). | calibrate(A,B,C,D):-init_supports(B,G,D),goal_have_image(F,E,D),init_calibration_target(B,C,D),goal_have_image(F,G,D),init_power_avail(A,D),init_supports(B,E,D).;1835.8948;04/11/2021 15:20
satellite;calibrate;2;0;0.2;0.25;49;1761;29222;7;5;6;8;306;7;177;0.043243;0.533333;15;903;13;190;0.073171;0.535714;0;0;0;0;0;0;calibrate(A,B,C,D):-init_pointing(A,C,D),init_on_board(B,A,D).;0.871029;04/11/2021 15:20
satellite;calibrate;2;0;0.2;0.25;49;1761;29222;7;5;6;98;148;165;87;0.52973;0.372624;98;444;472;107;0.478049;0.17193;0;0;0;0;0;0;calibrate(A,B,C,D):-init_calibration_target(B,C,D),init_on_board(B,A,D).;0.921377;04/11/2021 15:20
satellite;calibrate;2;0;0.2;0.25;49;1761;29222;7;5;6;98;218;95;87;0.52973;0.507772;98;489;427;107;0.478049;0.186667;0;0;0;0;0;0;calibrate(A,B,C,D):-init_calibration_target(B,C,D),init_supports(B,E,D),goal_pointing(A,F,D),goal_have_image(F,E,D). | calibrate(A,B,C,D):-init_calibration_target(B,C,D),init_supports(B,G,D),init_supports(B,E,D),goal_have_image(F,E,D),goal_have_image(F,G,D),init_on_board(B,A,D).;825.95514;04/11/2021 15:20
